
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/24dbec7b-e6b9-4e9d-826b-8823429972d1?bufferSize=1000&amp;useArrayFormat=true
11:13:15.634 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x59027F]
11:13:16.221 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:16.757 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:17.362 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:17.386 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[166814]
11:13:17.897 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:18.274 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88d880cf-a791-30fc-9307-1d8e6396c45b:rtt] value[53]
11:13:18.523 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:19.053 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:19.587 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:20.166 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:20.697 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:21.256 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:21.809 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:22.365 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:22.921 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:23.589 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:24.110 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:24.648 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:25.203 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:13:25.735 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
