
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:54.441 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[14B3] data[22F124]
14:09:54.453 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1733] target[0E80] data[62F1244D5934322D3138443632302D434A00000000000000000000]
14:09:54.523 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[14B3] target[0E80] data[7F2231]
14:09:54.538 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1732] data[22F124]
14:09:54.605 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1732] target[0E80] data[7F2231]
14:09:54.622 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1731] data[22F124]
14:09:54.717 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1730] data[22F124]
14:09:54.723 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1731] target[0E80] data[62F1245059344D2D3134433130352D414200000000000000000000]
14:09:54.799 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1726] data[22F124]
14:09:54.804 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1730] target[0E80] data[62F1244D5934322D3134433630392D414200000000000000000000]
14:09:54.880 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1764] data[22F124]
14:09:54.914 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1726] target[0E80] data[62F124525934322D3134433138352D414300000000000000000000]
14:09:54.974 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1764] target[0E80] data[7F2231]
14:09:54.975 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E4] data[22F124]
14:09:55.060 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1464] data[22F124]
14:09:55.084 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E4] target[0E80] data[62F1244C3842322D3134433139382D424400000000000000000000]
14:09:55.132 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1464] target[0E80] data[7F2231]
14:09:55.146 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A3] data[22F124]
14:09:55.237 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A2] data[22F124]
14:09:55.253 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A3] target[0E80] data[62F1244D5934322D3134433033342D415000000000000000000000]
14:09:55.314 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A2] target[0E80] data[62F1244D5836332D3139433237342D414700000000000000000000]
14:09:55.332 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1761] data[22F124]
14:09:55.464 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1761] target[0E80] data[62F1244D3845322D3134433336372D424C00000000000000000000]
14:09:55.496 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E1] data[22F124]
14:09:55.587 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E0] data[22F124]
14:09:55.602 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E1] target[0E80] data[7F2231]
14:09:55.669 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1797] data[22F124]
14:09:55.683 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E0] target[0E80] data[62F1244D5934322D31324B3533322D4B454A000000000000000000]
14:09:55.749 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1757] data[22F124]
14:09:55.763 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1797] target[0E80] data[7F2231]
14:09:55.840 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1757] target[0E80] data[62F1244D59344D2D3139483533372D414800000000000000000000]
14:09:55.849 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1753] data[22F124]
14:09:55.961 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1753] target[0E80] data[7F2231]
14:09:55.969 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1792] data[22F124]
14:09:56.080 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1716] data[22F124]
14:09:56.083 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1792] target[0E80] data[7F2231]
14:09:56.152 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1716] target[0E80] data[62F124523845322D3134463533312D414C00000000000000000000]
14:09:56.160 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1780] data[22F125]
14:09:56.232 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1780] target[0E80] data[7F2231]
14:09:56.239 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1740] data[22F125]
14:09:56.304 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1740] target[0E80] data[7F2231]
14:09:56.321 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1742] data[22F125]
14:09:56.442 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1742] target[0E80] data[7F2231]
14:09:56.495 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1741] data[22F125]
14:09:56.580 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1751] data[22F125]
14:09:56.591 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1741] target[0E80] data[7F2231]
14:09:56.661 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1710] data[22F125]
14:09:56.674 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1751] target[0E80] data[7F2231]
14:09:56.751 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E6] data[22F125]
14:09:56.762 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1710] target[0E80] data[7F2231]
14:09:56.828 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[FFFFE400] data[3E80]
14:09:56.844 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E6] target[0E80] data[7F2231]
14:09:56.919 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1407] data[22F125]
14:09:57.000 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1744] data[22F125]
14:09:57.004 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1407] target[0E80] data[7F2231]
14:09:57.082 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1744] target[0E80] data[7F2231]
14:09:57.089 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C6] data[22F125]
14:09:57.188 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17C4] data[22F125]
14:09:57.193 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C6] target[0E80] data[62F1254C3436322D5374616E646172642D53542D52533A20303100]
14:09:57.269 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1743] data[22F125]
14:09:57.274 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17C4] target[0E80] data[62F1254C3436322D5374616E646172642D53542D52533A20303100]
